review,sentiment
出張でお世話になりました。,neutral
朝食は普通でした。,neutral
また是非行きたいです。,positive
また利用したいと思えるホテルでした。,positive
駅から近くて便利でした。,positive
また来年も利用したいと思います。,positive
新婚旅行で利用しました。,neutral
また利用いたします。,positive
コストパフォーマンス最高です。,positive
お心遣いありがとうございました。,neutral
部屋は広いです。,positive
野球観戦で利用しました。,neutral
出張の前泊で利用しました。,neutral
全てにおいて満足です。,positive
と感じてしまいました。,negative
)でした。,neutral
1泊お世話になりました。,neutral
部屋からの眺めも良かったです。,positive
普通のホテルです。,neutral
また利用するつもりです。,positive
朝食が美味しいです。,positive
駐車場も無料です。,positive
また泊まりたいと思っています。,positive
また行きたいと思ってます。,positive
素敵な旅になりました。,positive
3回入りました。,neutral
(̄▽,neutral
再訪です。,positive
大満足のお宿でした。,positive
また利用しようと思いました。,positive
また行く機会があれば利用したいです。,positive
サウナもあります。,positive
二度目です。,positive
最高のおもてなしでした。,positive
お疲れ様です。,neutral
飲み会で利用しました。,neutral
部屋の広さも十分でした。,positive
期待していただけに残念でした。,negative
接客はとても丁寧でした。,positive
また利用すると思う。,positive
想像以上に良かったです。,positive
いいお宿です。,positive
どうぞよろしくお願いします。,neutral
恋人旅行で利用しました。,neutral
(^ω^,neutral
デザートも美味しかったです。,positive
寝るだけなら充分です。,neutral
残念...。,negative
ベッドの寝心地は良かったです。,positive
車で伺いました。,neutral
お値段以上です。,positive
フロントの方の接客も丁寧でした。,positive
感謝感激です。,positive
夫婦旅行です。,neutral
2017.,neutral
料理もお風呂も最高でした。,positive
朝から食べ過ぎてしまいました。,positive
今回は残念でした。,negative
+:。,neutral
冷蔵庫はありません。,negative
お奨めです。,positive
対応ありがとうございました。,neutral
とても快適なホテルでした。,positive
居心地の良いホテルでした。,positive
広くてゆっくりできました。,positive
ゆっくり寝れました。,positive
かなり良かったです。,positive
笑顔も素敵でした。,positive
意味がわかりません。,negative
駐車場は無料でした。,positive
謎です。,neutral
おもてなしの心を感じました。,positive
ただ。。,neutral
無料朝食も美味しかったです。,positive
